"Informazioni cronologiche","Qual è il tuo sesso?","Qual è la tua etá in questo momento?","Qual è la tua provincia di residenza? (Esprimi la tua risposta selezionando la cittá presente tra le 12 province Lombarde).","Sei un fumatore?","Nel caso di una precedente risposta positiva (si, fumo quotidianamente), esprimi ora il numero di sigarette fumate ogni giorno:","Qual è il tuo principale mezzo di trasposto?","Quante volte usi la macchina (o un personale mezzo di trasporto a motore) durante l'arco della settimana?","Quanti Km percorri con la macchina (o il tuo mezzo di trasporto a motore) ogni settimana?","Quanti metri quadrati è grande la tua abitazione? (Esprimi la risposta solo in numeri, esempio: 105)","Quale tipo di impianto di riscaldamento utilizzi all'interno della tua abitazione?","Durante i mesi freddi, a che temperatura tendi ad impostare il tuo impianto di riscaldamento?","Possiedi un camino o una stufa a legna?","Se hai votato si all'ultima domanda, quante volte lo utilizzi durante l'arco di un anno?","In media, quanti voli effettui durante l'anno? (ogni volo conta come 1, quindi i voli composti da ''Andata + Ritorno'' valgono come 2). Scrivi la risposta solo in numero:","Quanti acquisti on-line effettui ogni mese? (Selezionare una delle possibili risposte in base agli acquisti di beni materiali effettuati Online, escludendo le spese alimentari)","Quanti acquisti non on-line effettui ogni mese? (Selezionare una delle possibili risposte in base agli acquisti di beni materiali effettuati Non-Online, escludendo le spese alimentari)","Quante volte alla settimana mangi cibi contenenti carne (o a base di carne)?"
"2022/02/22 3:21:41 PM CET","Donna","Piú di 50","Milano","No, mai","","Automobile a motore","5/7 volte","Da 51 a 100","160","Riscaldamento tradizionale (termosifoni)","18/19 gradi","Si","Da 1 a 20 volte","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 3:23:01 PM CET","Uomo","25 - 30","Milano","Si, fumo quotidianamente","Da 6 a 10 sigarette ogni giorno.","Automobile a motore","Piú di 15 volte","Da 101 a 200","No so","Riscaldamento tradizionale (termosifoni)","20/21 gradi","Si","Da 1 a 20 volte","2","Da 1 a 5 prodotti","Da 6 a 10 prodotti","3/4 volte"
"2022/02/22 3:23:07 PM CET","Donna","Piú di 50","Milano","No, mai","","Automobile a motore","8 / 14 volte","Da 101 a 200","120","Riscaldamento tradizionale (a pavimento)","20/21 gradi","No","","4","Da 1 a 5 prodotti","Da 6 a 10 prodotti","3/4 volte"
"2022/02/22 3:26:50 PM CET","Donna","41 - 50","Milano","No, mai","","Automobile a motore","Piú di 15 volte","Da 201 a 500","140","Riscaldamento tradizionale (termosifoni)","20/21 gradi","Si","Da 1 a 20 volte","2","Da 1 a 5 prodotti","Da 6 a 10 prodotti","3/4 volte"
"2022/02/22 3:26:53 PM CET","Donna","18 - 24","Varese","No, mai","","Automobile a motore","3 /4 volte","Da 1 a 50","200","Riscaldamento tradizionale (termosifoni)","18/19 gradi","Si","Da 1 a 20 volte","3","Da 1 a 5 prodotti","Da 6 a 10 prodotti","3/4 volte"
"2022/02/22 3:27:19 PM CET","Uomo","25 - 30","Milano","Si, fumo quotidianamente","Da 11 a 15 sigarette ogni giorno.","Automobile a motore","8 / 14 volte","Piú di 500","130","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","1","Da 1 a 5 prodotti","Da 6 a 10 prodotti","3/4 volte"
"2022/02/22 3:28:02 PM CET","Donna","18 - 24","Milano","No, mai","","Automobile a motore","5/7 volte","Da 1 a 50","80","Riscaldamento tradizionale (termosifoni)","20/21 gradi","Si","Da 1 a 20 volte","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 3:32:08 PM CET","Uomo","18 - 24","Milano","Si, fumo quotidianamente","Da 1 a 5 sigarette ogni giorno.","Automobile a motore","5/7 volte","Da 101 a 200","220","Stufa a pellet","22/23 gradi","No","","10","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 3:33:12 PM CET","Uomo","18 - 24","Milano","No, mai","","Automobile a motore","3 /4 volte","Da 1 a 50","105","Riscaldamento tradizionale (termosifoni)","18/19 gradi","Si","Da 1 a 20 volte","0 o 2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 3:36:22 PM CET","Donna","25 - 30","Varese","No, mai","","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","1 / 2 volte","Da 1 a 50","106","Riscaldamento tradizionale (a pavimento)","20/21 gradi","No","","5","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 3:39:19 PM CET","Uomo","25 - 30","Milano","Si, fumo quotidianamente","Da 6 a 10 sigarette ogni giorno.","Automobile a motore","8 / 14 volte","Da 101 a 200","120","Riscaldamento tradizionale (a pavimento)","20/21 gradi","No","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 3:42:12 PM CET","Uomo","25 - 30","Varese","No, mai","","Automobile a motore","Piú di 15 volte","Piú di 500","65","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","1","Da 6 a 10 prodotti","Da 6 a 10 prodotti","3/4 volte"
"2022/02/22 3:50:45 PM CET","Uomo","18 - 24","Milano","No, mai","","Automobile a motore","5/7 volte","Da 1 a 50","130","Riscaldamento tradizionale (termosifoni)","18/19 gradi","Si","Da 1 a 20 volte","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 3:52:33 PM CET","Donna","Piú di 50","Milano","No, mai","","Automobile a motore","3 /4 volte","Da 51 a 100","95","Caldaia a gas","18/19 gradi","Si","","1","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 3:59:24 PM CET","Donna","25 - 30","Milano","Si, fumo quotidianamente","Da 6 a 10 sigarette ogni giorno.","Automobile a motore","Piú di 15 volte","Da 51 a 100","231","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","0","Da 6 a 10 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 3:59:30 PM CET","Uomo","25 - 30","Milano","Si, fumo quotidianamente","Da 6 a 10 sigarette ogni giorno.","Automobile a motore","5/7 volte","Da 101 a 200","200","Riscaldamento tradizionale e camino ","20/21 gradi","Si","Piú di 60 volte","4","Da 1 a 5 prodotti","Da 6 a 10 prodotti","Tutti i giorni"
"2022/02/22 4:00:23 PM CET","Uomo","25 - 30","Milano","Si, fumo quotidianamente","Da 11 a 15 sigarette ogni giorno.","Automobile a motore","5/7 volte","Da 101 a 200","140","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","4","Da 1 a 5 prodotti","Piú di 21 prodotti","3/4 volte"
"2022/02/22 4:04:07 PM CET","Donna","25 - 30","Milano","No, mai","","Automobile a motore","8 / 14 volte","Da 101 a 200","95","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","4","Da 16 a 20 prodotti","Da 16 a 20 prodotti","1/2 volte"
"2022/02/22 4:06:57 PM CET","Uomo","18 - 24","Varese","No, mai","","Automobile a motore","Piú di 15 volte","Piú di 500","92","Riscaldamento tradizionale (termosifoni)","22/23 gradi","No","","4","Da 1 a 5 prodotti","Da 6 a 10 prodotti","3/4 volte"
"2022/02/22 4:14:41 PM CET","Donna","25 - 30","Milano","Raramente (indicativamente 3/5 sigarette al mese)","","Automobile a motore","8 / 14 volte","Da 1 a 50","145","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 4:14:47 PM CET","Donna","25 - 30","Milano","Si, fumo quotidianamente","Da 6 a 10 sigarette ogni giorno.","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","5/7 volte","Da 1 a 50","100","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","6","Da 1 a 5 prodotti","Da 6 a 10 prodotti","Tutti i giorni"
"2022/02/22 4:18:12 PM CET","Donna","25 - 30","Milano","No, mai","","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","","","50 mq","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","8","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 4:25:42 PM CET","Donna","25 - 30","Milano","No, mai","","Automobile a motore","Piú di 15 volte","Da 1 a 50","120","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","1","Da 6 a 10 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 4:26:47 PM CET","Uomo","25 - 30","Varese","No, mai","","Automobile a motore","8 / 14 volte","Da 201 a 500","90","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","6","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 4:27:46 PM CET","Uomo","25 - 30","Milano","Si, fumo quotidianamente","Da 6 a 10 sigarette ogni giorno.","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","1 / 2 volte","Da 1 a 50","250","Riscaldamento tradizionale (termosifoni)","18/19 gradi","Si","Da 1 a 20 volte","1","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 4:32:37 PM CET","Donna","25 - 30","Milano","No, mai","","Automobile a motore","8 / 14 volte","Da 1 a 50","110","Caldaia a pellet","20/21 gradi","No","","4","Da 1 a 5 prodotti","Da 6 a 10 prodotti","1/2 volte"
"2022/02/22 4:40:43 PM CET","Donna","18 - 24","Milano","Raramente (indicativamente 3/5 sigarette al mese)","","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","5/7 volte","Da 51 a 100","200","Riscaldamento tradizionale (termosifoni)","22/23 gradi","No","","2","Da 1 a 5 prodotti","Da 6 a 10 prodotti","1/2 volte"
"2022/02/22 4:49:42 PM CET","Donna","25 - 30","Milano","No, mai","","Automobile a motore","5/7 volte","Da 1 a 50","150","Riscaldamento tradizionale (a pavimento)","20/21 gradi","No","","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 4:52:22 PM CET","Uomo","25 - 30","Milano","Si, fumo quotidianamente","Da 6 a 10 sigarette ogni giorno.","Ciclomotore (moto, scooter)","8 / 14 volte","Da 101 a 200","120","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","6","Da 1 a 5 prodotti","Da 1 a 5 prodotti","Tutti i giorni"
"2022/02/22 4:55:04 PM CET","Uomo","Piú di 50","Milano","No, mai","","Automobile a motore","Piú di 15 volte","Da 201 a 500","150","Riscaldamento tradizionale (termosifoni)","20/21 gradi","Si","Piú di 60 volte","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 4:56:24 PM CET","Uomo","31 - 40","Milano","Si, fumo quotidianamente","Da 16 a 20 sigarette ogni giorno.","Automobile ibrida","1 / 2 volte","Da 1 a 50","75","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","1","Da 6 a 10 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 4:58:45 PM CET","Donna","25 - 30","Milano","Occasionalmente (indicativamente 3/5 sigarette a settimana)","","Automobile a motore","3 /4 volte","Da 101 a 200","100","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","1","Da 1 a 5 prodotti","Da 1 a 5 prodotti","Tutti i giorni"
"2022/02/22 5:14:55 PM CET","Donna","25 - 30","Milano","No, mai","","Automobile a motore","1 / 2 volte","Da 1 a 50","70","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 5:18:18 PM CET","Uomo","25 - 30","Varese","No, mai","","Automobile a motore","Piú di 15 volte","Da 101 a 200","105","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","2","Da 1 a 5 prodotti","Da 6 a 10 prodotti","3/4 volte"
"2022/02/22 5:21:32 PM CET","Uomo","25 - 30","Milano","No, mai","","Automobile a motore","Piú di 15 volte","Da 51 a 100","100","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 5:29:21 PM CET","Uomo","31 - 40","Varese","No, mai","","Automobile a motore","Piú di 15 volte","Da 51 a 100","50","Riscaldamento tradizionale (termosifoni)","22/23 gradi","No","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 5:32:22 PM CET","Uomo","25 - 30","Varese","No, mai","","Automobile a motore","8 / 14 volte","Da 101 a 200","80","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 5:44:42 PM CET","Uomo","18 - 24","Milano","No, mai","","Automobile a motore","8 / 14 volte","Da 51 a 100","100","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 5:45:38 PM CET","Donna","25 - 30","Varese","No, mai","","Automobile a motore","3 /4 volte","Da 1 a 50","90","Condizionatori","24/25 gradi","No","","0","Da 16 a 20 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 5:48:35 PM CET","Donna","25 - 30","Milano","Raramente (indicativamente 3/5 sigarette al mese)","","Automobile a motore","3 /4 volte","Da 1 a 50","85","Riscaldamento tradizionale (termosifoni)","22/23 gradi","No","","6","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 5:50:57 PM CET","Uomo","Piú di 50","Milano","Si, fumo quotidianamente","Da 16 a 20 sigarette ogni giorno.","Automobile a motore","Piú di 15 volte","Da 201 a 500","100","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 6:09:11 PM CET","Uomo","41 - 50","Lecco","No, mai","","Automobile a motore","Piú di 15 volte","Da 51 a 100","50","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","1","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 6:14:17 PM CET","Donna","31 - 40","Lecco","No, mai","","Automobile a motore","5/7 volte","Da 1 a 50","50/60 metri quadri"," Riscaldamento tradizionale e stufa a pellet","18/19 gradi","No","","Nessuna","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 6:20:02 PM CET","Uomo","25 - 30","Milano","Si, fumo quotidianamente","Da 6 a 10 sigarette ogni giorno.","Automobile a motore","8 / 14 volte","Da 101 a 200","300","Riscaldamento tradizionale (termosifoni)","20/21 gradi","Si","Da 1 a 20 volte","2","Da 1 a 5 prodotti","Da 6 a 10 prodotti","Tutti i giorni"
"2022/02/22 6:25:48 PM CET","Donna","25 - 30","Milano","No, mai","","Automobile a motore","Piú di 15 volte","Da 201 a 500","400","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","6","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 6:25:55 PM CET","Donna","25 - 30","Milano","No, mai","","Automobile a motore","3 /4 volte","Da 1 a 50","120","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 6:39:58 PM CET","Donna","Piú di 50","Lecco","No, mai","","Automobile a motore","5/7 volte","Da 201 a 500","80","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","0","Da 1 a 5 prodotti","Da 6 a 10 prodotti","3/4 volte"
"2022/02/22 6:41:19 PM CET","Donna","Piú di 50","Lecco","No, mai","","Automobile a motore","5/7 volte","Da 101 a 200","80","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","0","Da 1 a 5 prodotti","Da 6 a 10 prodotti","3/4 volte"
"2022/02/22 6:42:09 PM CET","Uomo","18 - 24","Pavia","No, mai","","Automobile a motore","3 /4 volte","Da 101 a 200","70","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","14","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 6:43:22 PM CET","Donna","18 - 24","Milano","No, mai","","Automobile a motore","8 / 14 volte","Da 1 a 50","800","Riscaldamento tradizionale (termosifoni)","18/19 gradi","Si","Da 1 a 20 volte","0","Da 1 a 5 prodotti","Da 11 a 15 prodotti","1/2 volte"
"2022/02/22 6:43:26 PM CET","Donna","41 - 50","Milano","No, mai","","Automobile a motore","8 / 14 volte","Da 101 a 200","100","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","4","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 6:43:29 PM CET","Donna","25 - 30","Milano","No, mai","","Automobile a motore","3 /4 volte","Da 51 a 100","170","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","14","Da 1 a 5 prodotti","Da 6 a 10 prodotti","3/4 volte"
"2022/02/22 6:45:20 PM CET","Donna","18 - 24","Sondrio","Occasionalmente (indicativamente 3/5 sigarette a settimana)","","Automobile elettrica","Piú di 15 volte","Da 51 a 100","200","Camino / Stufa a legna","20/21 gradi","Si","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","0"
"2022/02/22 6:57:26 PM CET","Donna","18 - 24","Pavia","No, mai","","Automobile a motore","8 / 14 volte","Da 101 a 200","100","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 7:04:01 PM CET","Donna","18 - 24","Cremona","No, mai","","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","1 / 2 volte","Da 1 a 50","60","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","0","Da 1 a 5 prodotti","Da 6 a 10 prodotti","1/2 volte"
"2022/02/22 7:04:05 PM CET","Donna","18 - 24","Brescia","Si, fumo quotidianamente","Da 1 a 5 sigarette ogni giorno.","Automobile ibrida","8 / 14 volte","Da 51 a 100","130","Camino / Stufa a legna","18/19 gradi","Si","Da 21 a 40 volte","0","Da 1 a 5 prodotti","Da 6 a 10 prodotti","1/2 volte"
"2022/02/22 7:09:17 PM CET","Donna","18 - 24","Milano","No, mai","","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","","","70","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 7:10:54 PM CET","Donna","31 - 40","Varese","No, mai","","Automobile a motore","8 / 14 volte","Da 51 a 100","100","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 7:18:11 PM CET","Uomo","18 - 24","Milano","Occasionalmente (indicativamente 3/5 sigarette a settimana)","","Automobile a motore","1 / 2 volte","Da 51 a 100","230","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 7:24:44 PM CET","Donna","18 - 24","Milano","No, mai","","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","1 / 2 volte","Da 51 a 100","100","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","0"
"2022/02/22 7:27:17 PM CET","Uomo","18 - 24","Milano","No, mai","","Automobile a motore","5/7 volte","Da 201 a 500","100","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","4","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 7:28:29 PM CET","Donna","Piú di 50","Milano","No, mai","","Automobile a motore","Piú di 15 volte","Da 1 a 50","100","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 7:40:17 PM CET","Donna","18 - 24","Milano","No, mai","","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","1 / 2 volte","Da 1 a 50","90","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 7:43:07 PM CET","Donna","18 - 24","Pavia","Raramente (indicativamente 3/5 sigarette al mese)","","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","1 / 2 volte","Da 1 a 50","177","Riscaldamento tradizionale (termosifoni)","18/19 gradi","Si","Da 1 a 20 volte","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","0"
"2022/02/22 8:10:06 PM CET","Uomo","25 - 30","Varese","Occasionalmente (indicativamente 3/5 sigarette a settimana)","","Automobile a motore","Piú di 15 volte","Da 201 a 500","150","Termoconvettori+camino","20/21 gradi","Si","Piú di 60 volte","4","Da 1 a 5 prodotti","Da 1 a 5 prodotti","Tutti i giorni"
"2022/02/22 8:27:04 PM CET","Uomo","25 - 30","Milano","Si, fumo quotidianamente","Da 16 a 20 sigarette ogni giorno.","Automobile a motore","3 /4 volte","Da 101 a 200","100","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","1","Da 1 a 5 prodotti","Da 6 a 10 prodotti","3/4 volte"
"2022/02/22 8:28:20 PM CET","Donna","Piú di 50","Monza","No, mai","","Automobile a motore","5/7 volte","Da 1 a 50","100","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","2","Da 1 a 5 prodotti","Da 6 a 10 prodotti","1/2 volte"
"2022/02/22 8:29:35 PM CET","Uomo","25 - 30","Milano","No, mai","","Automobile a motore","Piú di 15 volte","Piú di 500","200","Riscaldamento tradizionale (termosifoni)","18/19 gradi","Si","Piú di 60 volte","10","Da 1 a 5 prodotti","Da 1 a 5 prodotti","Tutti i giorni"
"2022/02/22 8:30:46 PM CET","Donna","18 - 24","Milano","Si, fumo quotidianamente","Da 1 a 5 sigarette ogni giorno.","Automobile a motore","5/7 volte","Da 51 a 100","110","Stufa a pellet","20/21 gradi","No","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
